case_id,collision_date,collision_time,day_of_week,m_primaryrd,m_secondrd,distance,direction,point_x,point_y,collision_severity,number_injured,number_killed,ptyatfault,pcf_viol_category,hit_and_run,type_of_collision,mviw,ped_action,pcf_violation,weather_1,weather_2,road_surface,road_cond_1,road_cond_2,lighting,control_device,partytype1,party_age1,party_sex1,party_dir1,movement1,sobriety1,drug1,veh_type1,veh_year1,veh_make1,safety_eq1,partytype2,party_age2,party_sex2,party_dir2,movement2,sobriety2,drug2,veh_type2,veh_year2,veh_make2,safety_eq2,partytype3,party_age3,party_sex3,party_dir3,movement3,sobriety3,drug3,veh_type3,veh_year3,veh_make3,safety_eq3
8727359,2/13/19,2310,Wednesday,FIGUEROA ST,WILSHIRE BLVD,0,Not Stated,-118.2592621,34.05004501,Other Visible Injury,1,0,2,Automobile Right of Way,No,Not Stated,Bicycle,No Pedestrian Involved,21804,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,29,Male,North,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2007,HONDA,Air Bag Not Deployed,Bicyclist,59,Male,South,Traveling Wrong Way,Had Not Been Drinking,Not Stated,Bicycle,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8764913,12/6/18,1430,Thursday,FIGUEROA ST,ADAMS BLVD,230,North,-118.2756874,34.02871323,Property Damage Only,0,0,1,Unsafe Speed,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,22350,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Daylight,None,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Parked Vehicle,998,Not Stated,North,Parked,Not Applicable,Not Applicable,Emergency Vehicle,2016,FORD,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8776974,11/30/18,1125,Friday,FIGUEROA ST,8TH ST,190,North,-118.2608657,34.04835129,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22350,Clear,Not Stated,Not Stated,No Unusual Condition,Not Stated,Daylight,None,Driver,50,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2016,SUBARU,Air Bag Not Deployed,Driver,37,Female,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,HYUNDAI,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8786807,12/23/18,2500,Sunday,FIGUEROA ST,8TH PL,20,North,-118.2622159,34.04685211,Property Damage Only,0,0,1,Unsafe Starting or Backing,Misdemeanor,Rear End,Parked Motor Vehicle,No Pedestrian Involved,22106,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Not Stated,None,Driver,998,Not Stated,South,Backing,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Parked Vehicle,998,Not Stated,North,Parked,Not Applicable,Not Applicable,Passenger Car/Station Wagon,2017,HONDA,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8786923,1/1/19,25,Tuesday,FIGUEROA ST,11TH ST,57,North,-118.265091,34.04380035,Other Visible Injury,1,0,2,Pedestrian Violation,No,Vehicle / Pedestrian,Pedestrian,Crossing not at Crosswalk,21955,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,28,Male,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2007,TOYOTA,Air Bag Not Deployed,Pedestrian,22,Male,East,Proceeding Straight,"Had Been Drinking, Impairment Unknown",Not Stated,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8787040,12/25/18,2315,Tuesday,FIGUEROA ST,8TH ST,261,South,-118.2617508,34.04735947,Complaint of Pain,1,0,2,Pedestrian Violation,Felony,Vehicle / Pedestrian,Pedestrian,Crossing not at Crosswalk,21954,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Pedestrian,34,Male,West,Not Stated,"Had Been Drinking, Under Influence",Not Stated,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8788653,12/2/18,230,Sunday,8TH ST,FIGUEROA ST,0,Not Stated,-118.2612421,34.04793549,Complaint of Pain,1,0,1,Pedestrian Right of Way,Felony,Vehicle / Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,21950,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning,Driver,52,Male,North,Making Left Turn,Impairment Unknown,Impairment Unknown,Not Stated,2013,LEXUS,Not Stated,Pedestrian,25,Male,North,Not Stated,Had Not Been Drinking,Not Stated,Pedestrian,,-,Not Stated,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8793056,2/10/19,1830,Sunday,ADAMS BLVD,FIGUEROA ST,0,Not Stated,-118.2760422,34.02815628,Complaint of Pain,2,0,2,Automobile Right of Way,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,21801,Clear,Not Stated,Dry,No Unusual Condition,Not Stated,Dark - No Street Lights,Functioning,Driver,998,Not Stated,East,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,19,Female,West,Making Left Turn,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2012,BMW,Passive Restraint Not Used,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
8794063,2/13/19,2045,Wednesday,FIGUEROA ST,FIGUEROA WAY,0,Not Stated,-118.2749022,34.02994537,Complaint of Pain,1,0,1,Unsafe Speed,Felony,Broadside,Bicycle,No Pedestrian Involved,22350,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,None,Driver,998,Not Stated,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Not Stated,    ,-,Not Stated,Driver,26,Male,West,Merging,Impairment Unknown,Impairment Unknown,Passenger Car/Station Wagon,2019,CADILLAC,Air Bag Not Deployed,Bicyclist,26,Male,North,Proceeding Straight,Impairment Unknown,Impairment Unknown,Bicycle,,-,Not Stated
8796257,1/14/19,930,Monday,FIGUEROA ST,8TH ST,200,North,-118.2608455,34.04837418,Property Damage Only,0,0,1,Unsafe Speed,No,Rear End,Other Motor Vehicle,No Pedestrian Involved,22350,Raining,Not Stated,Wet,No Unusual Condition,Not Stated,Daylight,None,Driver,47,Female,North,Proceeding Straight,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2017,TOYOTA,Air Bag Not Deployed,Driver,31,Male,North,Stopped,Had Not Been Drinking,Not Stated,Passenger Car/Station Wagon,2019,GMC,Air Bag Not Deployed,Not Stated,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,Not Stated
